                                           The SAS System          11:15 Friday, October 8, 2010   1

   Obs       ev1          ev2          ev3          ev4       year    qtr    CUSIP             date

     1     0.018815     0.022655    -0.004665    -0.024845    1980     1     00036110     01JAN1980
     2     0.018815     0.022655    -0.004665    -0.024845    1980     1     00036110     01JAN1980
     3    -0.022123     0.000657    -0.001786     0.013737    1980     2     00036110     01APR1980
     4    -0.019120     0.001212     0.016434    -0.006953    1980     3     00036110     01JUL1980
     5    -0.007426     0.013602     0.001214    -0.031197    1980     4     00036110     01OCT1980
     6    -0.027111     0.004870     0.014213    -0.006960    1981     1     00036110     01JAN1981
     7    -0.007304    -0.025884     0.001771    -0.003650    1981     2     00036110     01APR1981
     8     0.017164    -0.018100    -0.033856     0.044166    1981     3     00036110     01JUL1981
     9    -0.006629    -0.003633    -0.000959    -0.002399    1981     4     00036110     01OCT1981
    10    -0.008503    -0.001703     0.025146     0.021465    1982     1     00036110     01JAN1982
    11    -0.012466    -0.013919     0.007636    -0.025178    1982     2     00036110     01APR1982
    12     0.006611     0.020808    -0.004884    -0.001921    1982     3     00036110     01JUL1982
    13     0.007617    -0.036703     0.014468    -0.002054    1982     4     00036110     01OCT1982
    14     0.011896     0.000337     0.012546     0.013003    1983     1     00036110     01JAN1983
    15     0.009742     0.017861    -0.014546     0.013569    1983     2     00036110     01APR1983
    16     0.004868     0.006118     0.007750     0.007463    1983     3     00016510     01JUL1983
    17     0.024003    -0.018562     0.009587     0.002641    1983     4     00016510     01OCT1983
    18    -0.013182     0.005004    -0.003718     0.008574    1984     1     00016510     01JAN1984
    19     0.015665     0.017916     0.014214     0.010431    1984     2     00016510     01APR1984
    20    -0.005108     0.003947     0.005223    -0.005154    1984     3     00016510     01JUL1984
    21    -0.005343     0.005325    -0.006663     0.003558    1984     4     00016510     01OCT1984
    22     0.004808     0.005434     0.014809    -0.011203    1985     1     00016510     01JAN1985
    23    -0.013077     0.026465    -0.007421     0.003773    1985     2     00016510     01APR1985
    24    -0.008197    -0.002355    -0.011691    -0.020526    1985     3     00016510     01JUL1985
    25     0.001616    -0.000318    -0.002491    -0.002283    1985     4     00016510     01OCT1985
    26     0.005311     0.007124     0.003276     0.011286    1986     1     00016510     01JAN1986
    27     0.028539     0.000111     0.008815     0.001510    1986     2     00016510     01APR1986
    28    -0.017254     0.018995     0.036191    -0.012346    1986     3     00016510     01JUL1986
    29    -0.005530     0.002107     0.004577     0.008742    1986     4     00035410     01OCT1986
    30    -0.006556     0.010412     0.000477     0.011605    1987     1     00035410     01JAN1987
    31     0.001282    -0.005196    -0.006978    -0.012108    1987     2     00020910     01APR1987
    32     0.009419    -0.004783     0.015722     0.012872    1987     3     00020910     01JUL1987
    33    -0.012189    -0.007802    -0.016448     0.009910    1987     4     00020910     01OCT1987
    34    -0.019996    -0.020614     0.013965     0.008909    1988     1     00020910     01JAN1988
    35     0.009353     0.011771    -0.014518     0.001282    1988     2     00020910     01APR1988
    36     0.017859    -0.013800    -0.005009     0.001156    1988     3     00020910     01JUL1988
    37     0.014801     0.007094     0.003886     0.011853    1988     4     00020910     01OCT1988
    38     0.022280     0.007442    -0.005895     0.003322    1989     1     00020910     01JAN1989
    39    -0.001741     0.007093     0.006181    -0.000320    1989     2     00020910     01APR1989
    40    -0.009306    -0.009337     0.007136     0.001726    1989     3     00020910     01JUL1989
    41    -0.010926    -0.001505    -0.005702    -0.000570    1989     4     00020910     01OCT1989
    42    -0.014730    -0.009142    -0.004878    -0.004032    1990     1     00020910     01JAN1990
    43     0.022917    -0.003728    -0.012790     0.015491    1990     2     00020910     01APR1990
    44    -0.000019     0.005375     0.000644    -0.000439    1990     3     00002130     01JUL1990
    45     0.003176     0.000879    -0.000485    -0.000977    1990     4     00002130     01OCT1990
    46     0.015916     0.004399     0.004889     0.004797    1991     1     00002130     01JAN1991
    47    -0.001351     0.001221    -0.002100    -0.005053    1991     2     00002130     01APR1991
    48    -0.020976     0.008433    -0.004037    -0.028539    1991     3     00002130     01JUL1991
    49    -0.006709     0.002896     0.000216    -0.005832    1991     4     00002130     01OCT1991
    50     0.007614    -0.003269    -0.011148    -0.009463    1992     1     00002130     01JAN1992
    51     0.012000     0.024681     0.037817     0.003895    1992     2     00002130     01APR1992
    52    -0.004547    -0.001936     0.015757    -0.007859    1992     3     00002130     01JUL1992
    53     0.011396    -0.012924     0.001704    -0.002601    1992     4     00002130     01OCT1992
    54     0.000704    -0.008315     0.001838     0.002788    1993     1     00002130     01JAN1993
    55    -0.002743    -0.004174    -0.005756     0.010529    1993     2     00002130     01APR1993
    56    -0.002213     0.016564    -0.009453    -0.013462    1993     3     00002130     01JUL1993
    57     0.000033     0.016995    -0.006445     0.003563    1993     4     00002130     01OCT1993
    58     0.008279     0.010869     0.009263     0.000900    1994     1     00002130     01JAN1994
    59     0.000785     0.016198     0.000634    -0.000628    1994     2     00002130     01APR1994
    60     0.001395    -0.007173    -0.014114     0.006882    1994     3     00002130     01JUL1994
    61    -0.002266     0.000807     0.019148    -0.006771    1994     4     00002130     01OCT1994
    62     0.012565     0.013334    -0.003740     0.003311    1995     1     00002130     01JAN1995
    63     0.008066    -0.004725    -0.021970    -0.003484    1995     2     00002130     01APR1995
    64     0.004334     0.007748    -0.010722     0.004713    1995     3     00002130     01JUL1995
    65     0.005971     0.030302     0.007582     0.016612    1995     4     00002130     01OCT1995
    66     0.005200     0.006258    -0.010766    -0.006883    1996     1     00002130     01JAN1996
    67    -0.001969    -0.010902    -0.006001    -0.013503    1996     2     00002130     01APR1996
    68    -0.004975     0.011427    -0.008128     0.007680    1996     3     00002130     01JUL1996
    69     0.014274    -0.005704    -0.003418     0.006979    1996     4     00002130     01OCT1996
    70     0.011069     0.023436    -0.019960     0.007862    1997     1     00002130     01JAN1997
    71     0.004130     0.018247    -0.004504     0.002697    1997     2     00002130     01APR1997
    72     0.006648    -0.016301    -0.016816     0.001223    1997     3     00002130     01JUL1997
    73     0.004950     0.006447     0.003910    -0.004444    1997     4     00036020     01OCT1997
    74     0.006302     0.008126    -0.004003     0.002645    1998     1     00036020     01JAN1998
    75    -0.009619     0.010522    -0.013290     0.016858    1998     2     00036020     01APR1998
    76    -0.012747    -0.029749    -0.017846    -0.013945    1998     3     00036020     01JUL1998
    77     0.001886    -0.004390     0.007939    -0.005135    1998     4     00036020     01OCT1998
    78    -0.008238    -0.000186     0.013901    -0.011443    1999     1     00036020     01JAN1999
    79     0.011142     0.011607    -0.006936    -0.004317    1999     2     00036020     01APR1999
    80    -0.008715     0.011443    -0.006153    -0.007934    1999     3     00036020     01JUL1999
    81    -0.002576    -0.001376     0.008229     0.004826    1999     4     00036020     01OCT1999
    82    -0.008340    -0.003938    -0.006196     0.008347    2000     1     00036020     01JAN2000
    83     0.007678     0.004408    -0.003937     0.000824    2000     2     00036020     01APR2000
    84    -0.008835     0.006803    -0.000188     0.024042    2000     3     00036020     01JUL2000
    85     0.011804     0.006750    -0.007801     0.018490    2000     4     00036020     01OCT2000
    86     0.011601    -0.008989     0.011021    -0.004996    2001     1     00036020     01JAN2001
    87     0.009302     0.003165     0.003479     0.013256    2001     2     00036020     01APR2001
    88     0.013437    -0.003109     0.004226     0.005484    2001     3     00036020     01JUL2001
    89     0.001475    -0.004334     0.009509    -0.000586    2001     4     00036020     01OCT2001
    90     0.006414     0.002018     0.028501    -0.006132    2002     1     00036020     01JAN2002
    91     0.009260     0.002991     0.009678    -0.011979    2002     2     00036020     01APR2002
    92     0.010065    -0.015509    -0.008355     0.011612    2002     3     00036020     01JUL2002
    93    -0.015522    -0.004378    -0.002122     0.006203    2002     4     00036020     01OCT2002
    94    -0.013307     0.004808     0.024603    -0.010519    2003     1     00036020     01JAN2003
    95    -0.009584     0.016133     0.000193     0.018502    2003     2     00036020     01APR2003
    96     0.008721     0.031906     0.010793     0.008075    2003     3     00036020     01JUL2003
    97    -0.021962    -0.001087    -0.004866    -0.002284    2003     4     00036020     01OCT2003
    98     0.004268    -0.013600    -0.016604    -0.017564    2004     1     00036020     01JAN2004
    99    -0.013240    -0.014891     0.020054     0.004746    2004     2     00036020     01APR2004
   100     0.017330     0.015945     0.004817    -0.004033    2004     3     00036020     01JUL2004
   101    -0.014240     0.008464    -0.024997    -0.008944    2004     4     00036020     01OCT2004
   102     0.007177     0.000437    -0.014922     0.009990    2005     1     00036020     01JAN2005
   103     0.011747    -0.019580    -0.023325     0.001436    2005     2     00036020     01APR2005
   104    -0.012473    -0.007317    -0.003624     0.007322    2005     3     00036020     01JUL2005
   105    -0.017159     0.004916    -0.005175    -0.014074    2005     4     00036020     01OCT2005
   106    -0.012468    -0.021574    -0.013042    -0.009588    2006     1     00036020     01JAN2006
   107    -0.015912     0.006273     0.006775     0.002273    2006     2     00036020     01APR2006
   108    -0.018151     0.005001    -0.015537    -0.008775    2006     3     00036020     01JUL2006
   109     0.015716    -0.000253     0.017679    -0.013651    2006     4     00036020     01OCT2006
   110     0.013745     0.006517     0.023334     0.008289    2007     1     00036020     01JAN2007
   111    -0.010049    -0.014694     0.022459    -0.006928    2007     2     00036020     01APR2007
   112    -0.016895    -0.008026     0.003978     0.020246    2007     3     00036020     01JUL2007
   113    -0.016242     0.017585    -0.014854    -0.003534    2007     4     00036020     01OCT2007
   114     0.015722     0.021631     0.000061    -0.012701    2008     1     00036020     01JAN2008
   115    -0.015811     0.009974    -0.025613    -0.016395    2008     2     00036020     01APR2008
   116     0.016418     0.001600    -0.004180    -0.015750    2008     3     00036020     01JUL2008
   117     0.013166    -0.020449     0.007461    -0.012083    2008     4     00036020     01OCT2008
   118    -0.017673     0.008547    -0.004683    -0.012751    2009     1     00036020     01JAN2009
   119    -0.014995    -0.014461    -0.006527     0.005825    2009     2     00036020     01APR2009
   120    -0.011548    -0.015779    -0.005279    -0.000171    2009     3     00036020     01JUL2009
   121     0.014867    -0.011326     0.002427     0.003933    2009     4     00036020     01OCT2009
   122     0.010242     0.009399     0.004057    -0.000895    1980     1     00037010     01JAN1980
   123     0.010242     0.009399     0.004057    -0.000895    1980     1     00037010     01JAN1980
   124    -0.015327    -0.011697    -0.008564    -0.016025    1980     2     00037010     01APR1980
   125    -0.017980     0.015264    -0.019891    -0.000727    1980     3     00037010     01JUL1980
   126    -0.024278     0.017583    -0.008195     0.018352    1980     4     00037010     01OCT1980
   127    -0.020777    -0.015711    -0.000315    -0.006316    1981     1     00037010     01JAN1981
   128    -0.016074     0.007330    -0.002247     0.001803    1981     2     00037010     01APR1981
   129     0.014423     0.005060    -0.016344    -0.022478    1981     3     00037010     01JUL1981
   130    -0.008581    -0.011904    -0.027181    -0.009675    1981     4     00037010     01OCT1981
   131    -0.015026    -0.011527    -0.005951    -0.012279    1982     1     00037010     01JAN1982
   132    -0.008938     0.007264     0.013750     0.027091    1982     2     00037010     01APR1982
   133    -0.002413    -0.007214     0.004412    -0.001679    1982     3     00037010     01JUL1982
   134     0.003774    -0.008922    -0.000418     0.014734    1982     4     00037010     01OCT1982
   135     0.009874    -0.027799    -0.020474     0.019925    1983     1     00037010     01JAN1983
   136     0.004738    -0.008587    -0.001854    -0.027488    1983     2     00077410     01APR1983
   137    -0.013487    -0.023862     0.028281    -0.011712    1983     3     00036110     01JUL1983
   138     0.003649    -0.011267     0.007499     0.012176    1983     4     00035410     01OCT1983
   139    -0.009906     0.044485     0.008716    -0.019539    1984     1     00035410     01JAN1984
   140     0.001038     0.018421    -0.014838    -0.008297    1984     2     00035410     01APR1984
   141    -0.004972     0.000496     0.005931     0.007234    1984     3     00035410     01JUL1984
   142     0.011218    -0.001937    -0.008448     0.001128    1984     4     00035410     01OCT1984
   143    -0.000325    -0.000707    -0.012995     0.004379    1985     1     00035410     01JAN1985
   144    -0.002354    -0.002515    -0.006439     0.001597    1985     2     00035410     01APR1985
   145    -0.008009     0.001165    -0.009795     0.002140    1985     3     00035410     01JUL1985
   146     0.011496    -0.003520     0.001031     0.007897    1985     4     00035410     01OCT1985
   147     0.008560     0.017966    -0.019828    -0.000562    1986     1     00035410     01JAN1986
   148    -0.005903    -0.036852     0.001625    -0.013912    1986     2     00035410     01APR1986
   149    -0.001647     0.009420     0.008160     0.019662    1986     3     00035410     01JUL1986
   150    -0.015023     0.001939     0.008278     0.022609    1986     4     00036110     01OCT1986
   151    -0.023957     0.003126    -0.001313    -0.001403    1987     1     00036110     01JAN1987
   152     0.005451    -0.017704     0.005960     0.015795    1987     2     00035410     01APR1987
   153    -0.001096    -0.008347     0.003301    -0.002452    1987     3     00035410     01JUL1987
   154    -0.006328     0.011062    -0.015731    -0.004568    1987     4     00035410     01OCT1987
   155    -0.008117    -0.018637     0.010803     0.009031    1988     1     00035410     01JAN1988
   156     0.008175    -0.004742    -0.002479     0.006266    1988     2     00035410     01APR1988
   157     0.002154     0.006693     0.001932     0.005833    1988     3     00035410     01JUL1988
   158    -0.007908     0.002389    -0.005288    -0.010022    1988     4     00035410     01OCT1988
   159     0.000000     0.000000     0.000000    -0.000000    1989     1     00035410     01JAN1989
   160     0.000318    -0.002569     0.004422     0.005250    1989     2     00035410     01APR1989
   161    -0.000000     0.000000    -0.000000     0.000000    1989     3     00035410     01JUL1989
